Date,Product ID,Model,Serial Number,Quantity,Entity,Ref No.,Person,Remark
20 Jan 26,PV-05,RS7-595M-E2,A230917H91196,,Simat,,Wuttikorn,
20 Jan 26,PV-05,RS7-595M-E2,A230917H91224,,Simat,,Wuttikorn,
20 Jan 26,PV-05,RS7-595M-E2,A230917H91226,,Simat,,Wuttikorn,
20 Jan 26,PV-05,RS7-595M-E2,A230917H91266,,Simat,,Wuttikorn,
20 Jan 26,PV-05,RS7-595M-E2,A230917H91267,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90104,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90110,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90118,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90413,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90417,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90436,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90439,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90441,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90443,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90450,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90459,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90461,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90462,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90488,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90490,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90499,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90502,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90509,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90511,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90512,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90515,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90520,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90521,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90540,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90548,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90556,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90563,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90564,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90574,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90593,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90614,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90150,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90445,,Simat,,Wuttikorn,
20 Jan 26,PV-07,RS7-620N-E2,A240221H90534,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405135,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405640,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494404948,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405116,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403141,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116493806987,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403513,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402742,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403496,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116493806214,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494405060,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403082,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402238,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402515,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403101,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403486,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403469,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402658,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402652,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494403353,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116494402816,,Simat,,Wuttikorn,
20 Jan 26,MIC-01,HMS-2000 4-in-1 PEA,116493806535,,Simat,,Wuttikorn,
